values,name,day,,
1205.678128,jacobi,786,,
1087.601239,jacobi,787,,
1011.983166,jacobi,788,,
981.7525014,jacobi,789,,
997.8846155,jacobi,790,,
1059.537685,jacobi,791,,
1163.906886,jacobi,792,,
1306.574473,jacobi,793,,
1481.235051,jacobi,794,,
1680.631513,jacobi,795,,
1896.08837,jacobi,796,,
2118.481967,jacobi,797,,
2338.258919,jacobi,798,,
2546.069097,jacobi,799,,
2733.066159,jacobi,800,,
2891.453008,jacobi,801,,
3014.687899,jacobi,802,,
3097.967968,jacobi,803,,
3138.419905,jacobi,804,,
3135.242609,jacobi,805,,
3089.862534,jacobi,806,,
3005.88742,jacobi,807,,
2889.007322,jacobi,808,,
2746.702836,jacobi,809,,
2587.992289,jacobi,810,,
2422.993381,jacobi,811,,
2262.436144,jacobi,812,,
2117.164154,jacobi,813,,
1997.569074,jacobi,814,,
1913.052053,jacobi,815,,
1871.498322,jacobi,816,,
1878.865958,jacobi,817,,
1938.781297,jacobi,818,,
2052.32272,jacobi,819,,
2217.907412,jacobi,820,,
2431.311429,jacobi,821,,
2685.868861,jacobi,822,,
2972.815631,jacobi,823,,
3281.780456,jacobi,824,,
3601.372855,jacobi,825,,
3919.901577,jacobi,826,,
4226.124687,jacobi,827,,
4510.032431,jacobi,828,,
4763.580235,jacobi,829,,
4981.362338,jacobi,830,,
5161.144238,jacobi,831,,
5304.22432,jacobi,832,,
5415.591229,jacobi,833,,
5503.841218,jacobi,834,,
5580.85331,jacobi,835,,
5661.208509,jacobi,836,,
5761.391912,jacobi,837,,
5898.795604,jacobi,838,,
6090.593176,jacobi,839,,
6352.537453,jacobi,840,,
6697.776952,jacobi,841,,
7135.769541,jacobi,842,,
7671.384405,jacobi,843,,
8304.277956,jacobi,844,,
9028.613145,jacobi,845,,
9833.17315,jacobi,846,,
10701.89525,jacobi,847,,
11614.81351,jacobi,848,,
12549.37221,jacobi,849,,
13482.01882,jacobi,850,,
14389.96565,jacobi,851,,
15252.96807,jacobi,852,,
16054.95135,jacobi,853,,
16785.30919,jacobi,854,,
17439.70529,jacobi,855,,
18020.23922,jacobi,856,,
18534.88368,jacobi,857,,
18996.16898,jacobi,858,,
19419.17293,jacobi,859,,
19818.96768,jacobi,860,,
20207.76959,jacobi,861,,
20592.12356,jacobi,862,,
20970.51478,jacobi,863,,
21331.82573,jacobi,864,,
21655.03018,jacobi,865,,
21910.42645,jacobi,866,,
22062.55491,jacobi,867,,
22074.71904,jacobi,868,,
21914.7493,jacobi,869,,
21561.33909,jacobi,870,,
21009.98515,jacobi,871,,
20277.33567,jacobi,872,,
19402.66085,jacobi,873,,
18445.28798,jacobi,874,,
17477.26129,jacobi,875,,
16571.24746,jacobi,876,,
15784.81842,jacobi,877,,
15143.63333,jacobi,878,,
14627.52789,jacobi,879,,
14164.76212,jacobi,880,,
13640.15061,jacobi,881,,
12921.76644,jacobi,882,,
11907.45351,jacobi,883,,
10585.49099,jacobi,884,,
9092.544133,jacobi,885,,
7736.16317,jacobi,886,,
6929.468092,jacobi,887,,
6965.623181,jacobi,888,,
7546.869464,jacobi,889,,
6991.917725,jacobi,890,,
1102.292086,jacobi,891,,
0,time,,,
4,time,,,
2,time,,,
2,time,,,
2,time,,,
5,time,,,
9,time,,,
10,time,,,
11,time,,,
6,time,,,
7,time,,,
8,time,,,
5,time,,,
17,time,,,
39,time,,,
41,time,,,
66,time,,,
52,time,,,
37,time,,,
77,time,,,
104,time,,,
116,time,,,
151,time,,,
132,time,,,
85,time,,,
70,time,,,
168,time,,,
220,time,,,
185,time,,,
224,time,,,
262,time,,,
191,time,,,
166,time,,,
345,time,,,
311,time,,,
382,time,,,
347,time,,,
392,time,,,
250,time,,,
259,time,,,
631,time,,,
515,time,,,
581,time,,,
483,time,,,
572,time,,,
464,time,,,
479,time,,,
953,time,,,
936,time,,,
985,time,,,
996,time,,,
1145,time,,,
815,time,,,
794,time,,,
1521,time,,,
1471,time,,,
1423,time,,,
1506,time,,,
1734,time,,,
1164,time,,,
1117,time,,,
1942,time,,,
1961,time,,,
1948,time,,,
1884,time,,,
1555,time,,,
1493,time,,,
1377,time,,,
2642,time,,,
2234,time,,,
2389,time,,,
2531,time,,,
2530,time,,,
1657,time,,,
1552,time,,,
3118,time,,,
3070,time,,,
3230,time,,,
3217,time,,,
3694,time,,,
